username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Auburn WA Police Dept,748254696633098240,"Auburn, WA",2023-01-17 19:16:09,"UPDATE: After overwhelming support from the community, APD has arrested a suspect in this case. https://t.co/OG4z7a5m0T",2546,Twitter for iPhone,
Medway Green Party,136342053,"Medway, Kent.",2023-01-17 18:32:01,Fantastic to see community groups and community leaders being listened to. This achievement is huge and will help p… https://t.co/55DzBNBbvY,2,Twitter for Android,
City of Kent,62566884,"Kent, Washington USA",2023-01-17 16:25:50,"In 2022, the city's budget allocated $800k to advance our Race &amp; Equity Plan and initiatives while inviting communi… https://t.co/lFipqMgRVY",1,Sprout Social,
South King County Fire Dispatches,1390435821212213248,King County WA,2023-01-17 16:08:03,"🚑 🩺
DISPATCH: Medical Aid - Advanced Life Support @ DIAMOND VALLEY MOBILE HOME COMMUNITY #436, 31108 3RD AVE #436,… https://t.co/fmOvITSlcN",0,SKCDispatch,"{'type': 'Point', 'coordinates': [-122.00667533, 47.32257333]}"
South King County Fire Dispatches,1390435821212213248,King County WA,2023-01-17 15:48:56,"🚑
DISPATCH: Medical Aid - Basic Life Support @ DIAMOND VALLEY MOBILE HOME COMMUNITY #436, 31108 3RD AVE #436, BLACK… https://t.co/O7HetT22Bg",0,SKCDispatch,"{'type': 'Point', 'coordinates': [-122.00667533, 47.32257333]}"
Double G,1453346088388333580,Kent,2023-01-17 15:27:53,"@MetaverseMillen Yep 100%, I started GG Hollywood Hills &amp; Saude Brasil, great fun and good to build a community 🙂",0,Twitter for iPhone,
Double G,1453346088388333580,Kent,2023-01-17 15:10:13,"@Mr_Monkeyagi Gm mate, community in the Metaverse 🌎",0,Twitter for iPhone,
Liz Smith. 💙,1098685083484147712,Kent,2023-01-17 14:28:39,@Depheruk Maybe some of the people you have helped or the local community could assist if they have a trade that you needed...,0,Twitter for Android,
Russ 🇺🇦 🙏,3263826599,Kent,2023-01-17 13:39:03,@Legendaryfishin @CBTHunting Nope. I’m saying him killing wild animals has nothing to do with conservation and ever… https://t.co/Fq699yZnse,0,Twitter for iPhone,
KentOnline,31101301,Kent,2023-01-17 12:27:04,Do you have what it takes to join our team as a community reporter? Full details of our vacancy here #journalismjobs https://t.co/hRerdicVQo,0,TweetDeck,
NickyNuBoxing,1471911922480132096,Kent,2023-01-17 11:06:44,All those who are going to spend 9 months on what you think is ‘organic growth’ will feel ridiculous when you see h… https://t.co/03dABmnJHt,18,Twitter for Mac,
Dynamic Coaching UK,228729535,London & Kent,2023-01-17 10:30:07,"Dynamic Coaching 🟰 Diversity and Inclusion in Action ✅

We provide education and personal development services to t… https://t.co/MJ51BdXL7X",1,Buffer,
Dr Katerina Kolyva,2156890678,London and Kent ,2023-01-17 06:51:49,The joy was mine and I'm delighted to continue our important work @TheQNI on professionalism and leadership in comm… https://t.co/Rp0IgiyY6g,0,Twitter for Android,
UncleFarr,224522792,"Kent, WA",2023-01-17 04:48:23,"@DrAbioye Oh it is a slippery slope but those communities do it glaringly anyway. However, Africans tend to have a… https://t.co/wbIMS5eTba",0,Twitter for iPhone,
UncleFarr,224522792,"Kent, WA",2023-01-17 03:54:46,@DrAbioye I think what he’s referring to is that they look for the best fit for that role within their community on… https://t.co/LKP4xGx5ND,0,Twitter for iPhone,
Joshua Dobner,68720470,"Maple Valley, WA",2023-01-17 00:33:09,@JRomaETH @nftkoosh @frensradio_ @plutongmi @TheHerb_s @theluckyllamas @ChapoETH Web3 has identified that doxxed fo… https://t.co/GJnxouyN5V,1,Twitter for iPhone,
Dominic Mark Ashman,29700512,Kent,2023-01-16 21:19:11,@xfm_community @rickygervais Putting Karl in a chair with balloons attached,0,Twitter for Android,
GFCO,76173493,"Auburn, WA",2023-01-16 21:00:04,Two years on shelf with the new look and feel! 🤸‍♂️🥂 @enjoylifefoods was our first client in 2005. Today we are pro… https://t.co/Uf2dViJTZv,0,Brandwatch,
Doug Klein,998671950443507712,"Auburn, Washington, USA",2023-01-16 19:01:26,"Happy Martin Luther King, Jr. Day, everyone! Let us honor this man by doing what we can to make a difference in our… https://t.co/zUbr8lc35j",0,Hootsuite Inc.,
Mr A Pitts Music,1278410898,Kent,2023-01-16 18:20:37,@DominicPenna @simon_telegraph @DSanderson_85 More detachment in the place of community again,0,Twitter for iPhone,
